WRT_ALL 0x0 0x0 0x3ff 0x0
READ 0x12e 0x0 0x0 0x0
READ 0x12f 0x0 0x0 0x0
REKNOW 0xffffffff 0xffffffff 0xffffffff 0xffffffff
READ 0x131 0x0 0x0 0x0
READ 0x132 0x0 0x0 0x0
READ 0x133 0x0 0x0 0x0
READ 0x134 0x0 0x0 0x0
READ 0x135 0x0 0x0 0x0
READ 0x136 0x0 0x0 0x0
READ 0x137 0x0 0x0 0x0
READ 0x138 0x0 0x0 0x0
READ 0x139 0x0 0x0 0x0
READ 0x13a 0x0 0x0 0x0
READ 0x13b 0x0 0x0 0x0
READ 0x13c 0x0 0x0 0x0
READ 0x13d 0x0 0x0 0x0
READ 0x13e 0x0 0x0 0x0
READ 0x13f 0x0 0x0 0x0
READ 0x140 0x0 0x0 0x0
READ 0x141 0x0 0x0 0x0
READ 0x142 0x0 0x0 0x0
READ 0x143 0x0 0x0 0x0
READ 0x144 0x0 0x0 0x0
READ 0x145 0x0 0x0 0x0
READ 0x146 0x0 0x0 0x0
READ 0x147 0x0 0x0 0x0
READ 0x148 0x0 0x0 0x0
READ 0x149 0x0 0x0 0x0
READ 0x14a 0x0 0x0 0x0
READ 0x14b 0x0 0x0 0x0
READ 0x14c 0x0 0x0 0x0
READ 0x14d 0x0 0x0 0x0
READ 0x14e 0x0 0x0 0x0
READ 0x14f 0x0 0x0 0x0
READ 0x150 0x0 0x0 0x0
READ 0x151 0x0 0x0 0x0
READ 0x152 0x0 0x0 0x0
READ 0x153 0x0 0x0 0x0
READ 0x154 0x0 0x0 0x0
READ 0x155 0x0 0x0 0x0
READ 0x156 0x0 0x0 0x0
READ 0x157 0x0 0x0 0x0
READ 0x158 0x0 0x0 0x0
READ 0x159 0x0 0x0 0x0
READ 0x15a 0x0 0x0 0x0
READ 0x15b 0x0 0x0 0x0
READ 0x15c 0x0 0x0 0x0
READ 0x15d 0x0 0x0 0x0
READ 0x15e 0x0 0x0 0x0
READ 0x15f 0x0 0x0 0x0
READ 0x160 0x0 0x0 0x0
